Key,zh_CN,en_US,Notes
UI_MAIN_START,开始游戏,GAME LOBBY,
UI_MAIN_SHOP,商店,SHOP,
UI_MAIN_INFO,信息,INFO,
UI_MAIN_ACHIEVEMENT,成就,ACHIEVEMENT,
UI_MAIN_FREE_DIAMOND,每日奖励,GIFT,
UI_MAIN_FREE_DIAMOND_CLAIMED,已领取,CLAIMED,
UI_MAIN_FREE_DIAMOND_ERROR,领取失败（{0}）,FAILED ({0}),
UI_MAIN_RANK,排行榜,RANK,
UI_MAIN_RANK_ERROR,刷新失败（{0}）,FAILED ({0}),
UI_MAIN_LOADING,加载中...,LOADING...,
,,,
,,,
UI_SETTINGS_TITLE,设置,SETTINGS,
UI_SETTINGS_BGM,BGM,BGM,
UI_SETTINGS_SFX,音效,SFX,
UI_SETTINGS_FULLSCREEN,全屏显示,FULLSCREEN,
UI_SETTINGS_LANGUAGE,语言,LANGUAGE,
,,,
UI_LOBBY_TITLE,大厅,LOBBY,
UI_LOBBY_RETURN,返回,RETURN,
UI_LOBBY_CREATE_ROOM,创建房间,CREATE ROOM,
UI_LOBBY_JOIN_ROOM,加入房间,JOIN,
UI_LOBBY_ROOM_NAME,房间名称,Room Name,
UI_LOBBY_ROOM_NAME_DEFAULT,{0}的房间,{0}'s Room,
UI_LOBBY_ROOM_PASSWORD,密码,Password,
UI_LOBBY_ROOM_PASSWORD_NULL,无密码,None,
UI_LOBBY_ROOM_PASSWORD_NEED,需要,Need,
UI_LOBBY_ROOM_PASSWORD_NOTICE,(4位数字）,(4 Numbers),
UI_LOBBY_PLAYERS,人数,Players,
UI_LOBBY_ROUNDS,圈数,Rounds,
UI_LOBBY_ROUNDS_ENDLESS,无限,Endless,
UI_LOBBY_BIG_BLIND,大盲注,Big Blind,
UI_LOBBY_BUY_IN,买入,Buy-In,
UI_LOBBY_SHORT_DECK,短牌模式,Short Deck,
UI_LOBBY_ROBOT,机器人,Robot,
UI_LOBBY_CONFIRM,确认,CONFIRM,
UI_LOBBY_PASSWORD_VERIFY,请输入房间密码,Please input room password,
UI_LOBBY_PASSWORD_WRONG,密码错误,Incorrect password,
UI_LOBBY_PASSWORD_CONFRIM,确认,CONFIRM,
UI_LOBBY_PASSWORD_TIPS,输入4位数字,Type 4 numbers,
,,,
UI_ROOM_RETURN,返回,RETURN,
UI_ROOM_READY,准备,READY,
UI_ROOM_READY_CANCEL,取消准备,CANCEL,
UI_ROOM_START,开始游戏,START,
UI_ROOM_ROUND_COUNT,第{0}/{1}圈,Round {0}/{1},
UI_ROOM_SETTING_PLAYER,人数,Player,
UI_ROOM_SETTING_ROUNDS,圈数,Round,
UI_ROOM_SETTING_BIG_BLIND,大盲注,Big Blind,
UI_ROOM_SETTING_BUY_IN,买入,Buy-in,
UI_ROOM_SETTING_SHORT_DECK,短牌模式,Short Deck,
UI_ROOM_SETTING_SHORT_DECK_DES,"1. 移除2、3、4、5
2. [同花] > [葫芦]
3. A6789可构成最小的顺子","1.Remove 2~5
2.Flush > Full House
3.Lowest straight: A6789",
UI_ROOM_SETTING_ROBOT,机器人,Robot,
UI_ROOM_SKILL,选择技能,SKILL SELECTION,
UI_ROOM_ITEM,选择道具,ITEM SELECTION,
UI_ROOM_SKILL_SELECTED,已选技能,Selected Skills,
UI_ROOM_ITEM_SELECTED,已选道具,Selected Items,
UI_ROOM_PLAYER_STATE,玩家,Players,
UI_ROOM_SKILL_INNATE,固有,Innate,
UI_ROOM_SCORE_TITLE,计分板,SCORE BOARD,
UI_ROOM_SCORE_RANK,排名,No.,
UI_ROOM_SCORE_PLAYER,玩家,Player,
